Topic,Words,Frequency,Timestamp,weight_per_topic,weight_per_timestamp
-1,"gongos, medical, euthanasia, autonomy, ngos, agents, regulators, gongo, they, care, doctors, such, public, government, racism",7,1991,0.199203187250996,30.434782608695652
0,"civic, technologies, users, citizen, digital, kenya, uk, information, citizens, technology, user, government, icts, 08032016, znanstveni",1,1991,0.3246753246753247,4.3478260869565215
3,"law, hague, jurisdiction, laws, court, rule, legal, judgment, rules, convention, moral, morality, jurisdictional, judgments, courts",3,1991,1.1764705882352942,13.043478260869565
6,"environmental, china, chinas, chinese, economic, political, li, government, development, growth, policies, governments, yoon, economy, deng",1,1991,0.625,4.3478260869565215
11,"serb, military, croatia, war, yugoslavia, bosnia, herzegovina, security, serbian, forces, serbs, defense, secrecy, balkans, wars",2,1991,2.3529411764705883,8.695652173913043
12,"women, gender, womens, islamic, equality, female, islam, mothers, muslim, woman, development, her, feminist, business, empowerment",1,1991,1.2048192771084338,4.3478260869565215
17,"team, group, leadership, members, teams, stages, tasks, teamwork, organizations, transition, model, leader, organizational, models, interactions",1,1991,1.7543859649122806,4.3478260869565215
25,"nigeria, dollar, economic, capitalism, economy, nations, economics, countries, international, capital, capitalist, dollars, nigerian, monetary, money",2,1991,4.081632653061225,8.695652173913043
28,"missionaries, ottoman, turkey, turkish, syria, protestant, syrian, missionary, turkeys, protestants, muslim, constantinople, religious, orthodox, damascus",1,1991,2.0833333333333335,4.3478260869565215
29,"food, disabled, newspapers, disability, agriculture, insecurity, canada, disabilities, canadian, agricultural, farmers, newspaper, sustainable, huang, et",1,1991,2.127659574468085,4.3478260869565215
53,"water, nile, river, niger, african, africa, demand, watershed, egypt, ethiopia, dam, dams, riparian, sanitation, sudan",1,1991,3.125,4.3478260869565215
67,"detroit, schools, foundation, school, detroits, education, ngos, district, citys, foundations, community, urban, nonprofit, organizations, funders",1,1991,4.0,4.3478260869565215
106,"strategic, education, educational, managers, university, strategymaking, management, strategy, universities, academic, organizational, corporatelevel, strategies, institution, organization",1,1991,6.666666666666667,4.3478260869565215
-1,"isds, care, ori, military, saboteurs, children, 1942, investors, commissions, bush, war, oranga, commission, liberties, investor",5,1992,0.14228799089356858,35.714285714285715
5,"widner, courts, judicial, law, rights, judiciary, widners, court, judges, political, constitutional, scalia, rule, legal, politics",1,1992,0.49019607843137253,7.142857142857143
7,"authors, nonwestern, ethnic, dutch, newspaper, newspapers, globalization, french, france, netherlands, german, foreign, countries, cultural, germany",1,1992,0.8064516129032258,7.142857142857143
38,"millennial, millennials, media, generation, candidates, election, political, informations, instagram, information, youth, children, social, segmentation, constituent",1,1992,2.3255813953488373,7.142857142857143
39,"forest, forests, decree, forestry, conservation, reserves, management, nature, environmental, owner, plan, council, owners, ecological, administration",1,1992,2.3255813953488373,7.142857142857143
48,"constitutional, constitutionalism, law, constitution, legal, national, court, eu, rights, constitutions, laws, migration, courts, european, transnational",2,1992,5.555555555555555,14.285714285714286
59,"lisbon, city, disaster, reconstruction, earthquake, disasters, rebuilding, tsunami, plan, buildings, earthquakes, fire, building, planning, urban",1,1992,3.4482758620689653,7.142857142857143
63,"extraterritorial, corporation, jurisdiction, subsidiary, subsidiaries, state, company, corporations, liability, transnational, rights, states, international, mdgs, multinational",1,1992,3.8461538461538463,7.142857142857143
102,"textbook, textbooks, finance, exchange, payments, balance, shenggangs, monetary, financial, chapter, yang, chapters, theory, economics, students",1,1992,6.666666666666667,7.142857142857143
-1,"pasture, deadwood, law, property, legal, kyrgyz, his, were, tajik, state, international, gold, political, us, grazing",17,1993,0.48377916903813317,54.83870967741935
0,"sustainability, data, frameworks, iad, attribute, information, archive, stakeholders, framework, sustainable, capacities, archives, project, organizational, organizations",1,1993,0.3246753246753247,3.225806451612903
1,"eu, european, us, american, union, states, americans, relations, eus, world, international, europe, public, war, policy",1,1993,0.34843205574912894,3.225806451612903
2,"visa, spain, euros, applicant, immigration, visas, foreign, court, cspa, migration, spanish, migrants, courts, applicants, din",1,1993,0.373134328358209,3.225806451612903
3,"turkish, law, court, decision, arbitration, judgment, judgments, enforcement, turkey, legal, courts, case, jurisdiction, defendant, international",2,1993,0.7843137254901961,6.451612903225806
19,"us, debt, dollar, economic, grand, strategy, power, global, budget, military, world, nations, china, currency, nation",1,1993,1.8518518518518519,3.225806451612903
27,"corruption, corrupt, role, moral, institutional, ruption, sense, transactional, corrupted, his, bribery, he, anticorruption, seems, political",1,1993,2.0408163265306123,3.225806451612903
44,"israel, palestine, palestinian, palestinians, jewish, arab, international, hamas, jews, israelis, abbas, geopolitics, israeli, gaza, egypt",1,1993,2.5,3.225806451612903
76,"lab, innovation, labs, knowledge, infrastructure, technology, research, innovative, leylab, innovations, providers, network, exploitation, technological, companies",1,1993,4.545454545454546,3.225806451612903
77,"cultural, culture, globalization, identity, cultures, islamic, political, society, media, moors, social, challenges, religious, museum, cohesion",1,1993,4.545454545454546,3.225806451612903
80,"asean, china, aseans, regional, sea, asia, security, chinas, asian, maritime, philippines, vietnam, thailand, indonesia, sovereignty",1,1993,4.761904761904762,3.225806451612903
96,"australian, australia, australias, commonwealth, policy, government, cabinet, governments, treasury, indigenous, homelessness, australians, financial, minister, homeless",1,1993,6.25,3.225806451612903
97,"road, china, chinas, chinese, asia, maritime, countries, cooperation, gwadar, projects, billion, route, routes, infrastructure, language",1,1993,6.25,3.225806451612903
126,"china, vietnamese, chinese, vietnam, asean, sea, islands, maritime, asia, asian, disputes, sovereignty, territorial, archipelagos, chinas",1,1993,9.090909090909092,3.225806451612903
-1,"econom, intelligence, foreign, spanish, policy, peace, war, countries, states, growth, were, we, education, agreements, international",14,1994,0.398406374501992,53.84615384615385
1,"eu, ftas, eus, european, rights, agreement, fta, policy, cooperation, international, union, labour, agreements, law, standards",2,1994,0.6968641114982579,7.6923076923076925
2,"trafficking, victims, migration, traffickers, migrants, refugees, indonesia, crime, police, media, migrant, immigration, asylum, exploitation, immigrants",2,1994,0.746268656716418,7.6923076923076925
3,"law, chamber, crimes, bosnian, conflict, vrs, conflicts, trial, statute, tribunal, prosecution, court, yugoslavia, conventions, legal",1,1994,0.39215686274509803,3.8461538461538463
5,"au, peace, conflict, african, africa, continent, psc, conflicts, somalia, chadian, chad, war, rebels, sudan, ethiopia",1,1994,0.49019607843137253,3.8461538461538463
12,"women, parity, gender, womens, villages, village, vdc, project, female, quotas, communities, empowerment, leadership, projects, congo",1,1994,1.2048192771084338,3.8461538461538463
25,"inequality, vignettes, richest, income, essay, economics, subsistence, gap, unequal, incomes, vignette, global, ratio, marx, countries",1,1994,2.0408163265306123,3.8461538461538463
30,"aid, chinas, china, donors, countries, chinese, assistance, foreign, debt, humanitarian, international, multilateral, projects, loan, poverty",1,1994,2.127659574468085,3.8461538461538463
36,"faculties, fem, global, education, students, internationalization, educational, graduates, universities, programmes, university, international, teachers, colleges, faculty",1,1994,2.272727272727273,3.8461538461538463
58,"satisfaction, apartments, dwellers, slum, mumbai, living, india, corridor, maintenance, nepal, chandivali, habitation, indias, cleanliness, relationship",1,1994,3.4482758620689653,3.8461538461538463
125,"grade, bank, socioeconomic, grades, imf, lowest, latin, grading, demographic, inflation, institution, region, lower, institutions, rate",1,1994,9.090909090909092,3.8461538461538463
-1,"party, aca, students, college, cg, funding, political, research, employees, social, public, science, programs, we, parties",13,1995,0.3699487763232783,61.904761904761905
2,"immigration, noncitizens, terrorist, terrorism, immigrants, migration, citizens, migrants, ashcrofts, enforcement, deportation, ashcroft, border, courts, noncitizen",1,1995,0.373134328358209,4.761904761904762
15,"spending, convergence, expenditures, expenditure, spenders, globalization, total, modernization, percentage, countries, capita, sector, gdp, america, financing",1,1995,1.6666666666666667,4.761904761904762
17,"merger, acquirer, acquisition, companies, integration, mergers, management, company, acquisitions, market, enterprise, relevance, shareholders, enterprises, integrate",1,1995,1.7543859649122806,4.761904761904762
18,"korea, korean, south, koreas, japan, japanese, seoul, forces, unification, peninsula, kim, koreans, security, japans, china",1,1995,1.8518518518518519,4.761904761904762
43,"leisure, sports, physical, recreational, orientation, sport, movement, fitness, characteristics, exercise, activities, activity, athletes, body, training",1,1995,2.5,4.761904761904762
70,"brazil, latin, argentina, brazilian, unipolarity, foreign, autonomy, states, countries, american, us, powers, international, policy, unipolar",1,1995,4.166666666666667,4.761904761904762
95,"fwca, organization, citation, organizations, reputation, organizational, scientiststakeholder, journal, climate, journals, citations, impact, scientists, publications, research",1,1995,5.882352941176471,4.761904761904762
99,"family, children, families, care, rural, health, marriage, parents, onechild, child, onlychild, healthcare, empowerment, population, hospitals",1,1995,6.25,4.761904761904762
-1,"leadership, school, world, education, political, un, leaders, sustainable, global, peace, social, development, students, schools, international",15,1996,0.42686397268070575,39.473684210526315
0,"news, media, newspapers, content, bots, journalism, digital, information, newspaper, twitter, bot, print, technology, globalisation, tweets",4,1996,1.2987012987012987,10.526315789473685
1,"commission, agenda, eu, groups, decisionmaking, european, policymaking, council, committees, policy, process, member, phases, processes, committee",1,1996,0.34843205574912894,2.6315789473684212
3,"law, immigration, adjudication, court, contract, legal, courts, laws, judicial, lawyers, adjudicators, cases, judges, waiver, defendants",4,1996,1.5686274509803921,10.526315789473685
